,source,target,values
33126,Isabelle BARAUD-SERFATY,David CHEVALLIER,5.0
33148,Isabelle BARAUD-SERFATY,Jean-Loup MOLIN,5.0
33159,Isabelle BARAUD-SERFATY,Margot BALDASSI,5.0
33160,Isabelle BARAUD-SERFATY,Philippe GARGOV,5.0
33660,Margot BALDASSI,Anne-Caroline JAMBAUD,5.0
33661,Margot BALDASSI,Benjamin  PRADEL,5.0
33665,Margot BALDASSI,Cédric POLÈRE,5.0
33666,Margot BALDASSI,Ludovic VIÉVARD,5.0
33681,Margot BALDASSI,Nicolas LEPRÊTRE,10.0
33683,Margot BALDASSI,Sylvie  MAURIS-DEMOURIOUX,5.0
33684,Margot BALDASSI,Julien CASALS,5.0
33687,Margot BALDASSI,David CHEVALLIER,5.0
33693,Margot BALDASSI,Catherine FORET,3.0
33709,Margot BALDASSI,Jean-Loup MOLIN,10.0
33719,Margot BALDASSI,Isabelle BARAUD-SERFATY,5.0
33721,Margot BALDASSI,Philippe GARGOV,18.0
33724,Margot BALDASSI,Quentin ZARAGORI,5.0
34027,Margot BALDASSI,Kim SAKHO,5.0
34222,Philippe GARGOV,Benjamin  PRADEL,5.0
34232,Philippe GARGOV,Nicolas NOVA,2.0
34242,Philippe GARGOV,Nicolas LEPRÊTRE,5.0
34248,Philippe GARGOV,David CHEVALLIER,5.0
34254,Philippe GARGOV,Catherine FORET,3.0
34270,Philippe GARGOV,Jean-Loup MOLIN,5.0
34272,Philippe GARGOV,Fabien GIRARDIN,2.0
34280,Philippe GARGOV,Isabelle BARAUD-SERFATY,5.0
34281,Philippe GARGOV,Margot BALDASSI,18.0
